City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Nogliki,RU,2021-03-21 22:05:21,51.8333,143.1667,22.8,94,100,16.02
199,Gizo,SB,2021-03-21 22:05:21,-8.103,156.8419,83.35,73,100,8.25
200,Santa Maria,BR,2021-03-21 22:03:19,-29.6842,-53.8069,77.0,83,75,5.75
201,Plainfield,US,2021-03-21 22:05:22,40.6168,-74.4173,61.0,21,1,6.91
202,Guymon,US,2021-03-21 22:03:41,36.6828,-101.4816,69.8,28,1,18.41
203,Rorvik,NO,2021-03-21 22:05:22,64.8621,11.2373,39.2,87,75,13.8
204,Olyka,UA,2021-03-21 22:05:23,50.7186,25.8125,32.0,93,99,1.99
205,Longyearbyen,SJ,2021-03-21 22:05:23,78.2186,15.6401,15.8,67,75,18.41
206,Tabou,CI,2021-03-21 22:05:23,4.423,-7.3528,79.3,88,75,10.29
207,Cortes,ES,2021-03-21 22:05:23,41.9395,-1.4396,48.0,61,90,14.97
208,Filadelfia,US,2021-03-21 22:00:59,39.9523,-75.1638,64.99,20,20,6.91
209,Anadyr,RU,2021-03-21 22:01:09,64.75,177.4833,-9.0,77,40,13.42
210,Dunedin,NZ,2021-03-21 22:05:24,-45.8742,170.5036,60.01,68,80,13.0
211,Deputatskiy,RU,2021-03-21 22:05:24,69.3,139.9,-18.35,94,19,2.19
212,Ahipara,NZ,2021-03-21 22:05:24,-35.1667,173.1667,67.35,57,0,5.28
213,Yemtsa,RU,2021-03-21 22:05:25,63.0734,40.3329,26.94,96,100,6.46
214,Hovd,MN,2021-03-21 22:05:25,48.0056,91.6419,28.11,29,88,8.08
215,Pangody,RU,2021-03-21 22:05:25,65.85,74.4859,-0.71,96,99,8.3
216,Monastyrshchina,RU,2021-03-21 22:05:26,54.3496,31.838,28.42,94,100,12.95
217,Usinsk,RU,2021-03-21 22:05:26,65.9939,57.5281,8.2,94,91,12.08
218,Hastings,GB,2021-03-21 22:04:05,50.8552,0.5729,41.0,89,95,8.46
219,La Roda,ES,2021-03-21 22:05:26,39.2167,-2.15,44.6,57,0,9.22
220,Portel,BR,2021-03-21 22:02:46,-1.9356,-50.8211,77.7,90,95,3.71
221,Budogoshch,RU,2021-03-21 22:05:27,59.2816,32.4707,28.06,94,99,10.87
222,Tettnang,DE,2021-03-21 22:05:27,47.6667,9.6,37.4,65,90,3.44
